Timetable analysis for timetable: 'Thameslink Core Monday 29.06.2026' in conjunction with railway: 'Thameslink Core'
See user manual or on-screen help section 5.12 for detailed information.


Arrival & pass analysis: an asterisk means that the number of same approach code arrivals and passes is equal to or greater than the number of platforms.
If the total number of arrivals and passes at the same time exceeds the number of platforms the 'Trains present at location analysis' will show an asterisk.

Location,Number of,Number of,Services arriving within 1 minute with their arrival times and approach codes
,Platforms,Trains

Blackfriars,4,2,9J08 (Repeat 6),09:36,A,9O17 (Repeat 5),09:35,B
Blackfriars,4,2,2Y95,09:37,A,9J08 (Repeat 6),09:36,B
Blackfriars,4,3,2Y95,09:37,A,9O10 (Repeat 6),09:38,A,9S01 (Repeat 7),09:38,B
Blackfriars,4,2,9P11 (Repeat 3),09:40,A,9T00 (Repeat 6),09:41,B
Blackfriars,4,2,9S00 (Repeat 7),09:51,A,9V19 (Repeat 5),09:50,B
Blackfriars,4,2,9J01 (Repeat 8),09:53,A,9V10 (Repeat 7),09:53,B
Blackfriars,4,2,9T01 (Repeat 9),09:58,A,9Y14,09:59,B
Blackfriars,4,2,3M20,10:00,A,9Y14,09:59,B
Blackfriars,4,2,9J08 (Repeat 7),10:06,A,9O17 (Repeat 6),10:05,B
Blackfriars,4,2,9O10 (Repeat 7),10:08,A,9S01 (Repeat 8),10:08,B
Blackfriars,4,2,9P11 (Repeat 4),10:10,A,9T00 (Repeat 7),10:11,B
Blackfriars,4,2,9S00 (Repeat 8),10:21,A,9V19 (Repeat 6),10:20,B
Blackfriars,4,2,9J01 (Repeat 9),10:23,A,9V10 (Repeat 8),10:23,B
Blackfriars,4,2,9T01 (Repeat 10),10:28,A,9Y16,10:29,B
Blackfriars,4,2,9J08 (Repeat 8),10:36,A,9O17 (Repeat 7),10:35,B
Blackfriars,4,2,9O10 (Repeat 8),10:38,A,9S01 (Repeat 9),10:38,B
Blackfriars,4,2,9P11 (Repeat 5),10:40,A,9T00 (Repeat 8),10:41,B
Blackfriars,4,2,9S00 (Repeat 9),10:51,A,9V19 (Repeat 7),10:50,B
Blackfriars,4,2,9J01 (Repeat 10),10:53,A,9V10 (Repeat 9),10:53,B
Blackfriars,4,2,9T01 (Repeat 11),10:58,A,9Y18,10:59,B
Blackfriars,4,2,9J08 (Repeat 9),11:06,A,9O17 (Repeat 8),11:05,B
Blackfriars,4,2,9O10 (Repeat 9),11:08,A,9S01 (Repeat 10),11:08,B
Blackfriars,4,3,5Z98,11:11,A,9P11 (Repeat 6),11:10,B,9T00 (Repeat 9),11:11,C
Blackfriars,4,2,9S00 (Repeat 10),11:21,A,9V19 (Repeat 8),11:20,B
Blackfriars,4,2,9J01 (Repeat 11),11:23,A,9V10 (Repeat 10),11:23,B
Blackfriars,4,2,9T01 (Repeat 12),11:28,A,9Y20,11:29,B
Blackfriars,4,2,9J08 (Repeat 10),11:36,A,9O17 (Repeat 9),11:35,B
Blackfriars,4,2,9O10 (Repeat 10),11:38,A,9S01 (Repeat 11),11:38,B
Blackfriars,4,2,9P11 (Repeat 7),11:40,A,9T00 (Repeat 10),11:41,B
Blackfriars,4,2,9S00 (Repeat 11),11:51,A,9V19 (Repeat 9),11:50,B
Blackfriars,4,2,9J01 (Repeat 12),11:53,A,9V10 (Repeat 11),11:53,B
Blackfriars,4,2,9T01 (Repeat 13),11:58,A,9Y22,11:59,B
Blackfriars,4,2,9J08 (Repeat 11),12:06,A,9O17 (Repeat 10),12:05,B
Blackfriars,4,2,9O10 (Repeat 11),12:08,A,9S01 (Repeat 12),12:08,B
Blackfriars,4,2,9P11 (Repeat 8),12:10,A,9T00 (Repeat 11),12:11,B
Blackfriars,4,2,9S00 (Repeat 12),12:21,A,9V19 (Repeat 10),12:20,B
Blackfriars,4,2,9J01 (Repeat 13),12:23,A,9V10 (Repeat 12),12:23,B
Blackfriars,4,2,5W81,12:25,A,9R16 (Repeat 6),12:26,B
Blackfriars,4,2,9T01 (Repeat 14),12:28,A,9Y24,12:29,B
Blackfriars,4,2,9J08 (Repeat 12),12:36,A,9O17 (Repeat 11),12:35,B
Blackfriars,4,2,9O10 (Repeat 12),12:38,A,9S01 (Repeat 13),12:38,B
Blackfriars,4,2,9P11 (Repeat 9),12:40,A,9T00 (Repeat 12),12:41,B
Blackfriars,4,2,9S00 (Repeat 13),12:51,A,9V19 (Repeat 11),12:50,B
Blackfriars,4,2,9J01 (Repeat 14),12:53,A,9V10 (Repeat 13),12:53,B
Blackfriars,4,2,9T01 (Repeat 15),12:58,A,9Y26,12:59,B
Blackfriars,4,2,5Y05,13:02,A,9P04 (Repeat 12),13:03,B
Blackfriars,4,2,9J08 (Repeat 13),13:06,A,9O17 (Repeat 12),13:05,B
Blackfriars,4,2,9O10 (Repeat 13),13:08,A,9S01 (Repeat 14),13:08,B
Blackfriars,4,2,9P11 (Repeat 10),13:10,A,9T00 (Repeat 13),13:11,B
Blackfriars,4,2,9S00 (Repeat 14),13:21,A,9V19 (Repeat 12),13:20,B
