Railway: Thameslink Core; Timetable: Thameslink Core Monday 29.06.2026;  Start time: 04:00

Enters at T/F West Hampstead TL,23:15
Passes Kentish Town,23:16
Arrives at St. Pancras,23:23
Departs from St. Pancras,23:25
Passes Kings Cross TL (Closed),23:25
Arrives at Farringdon,23:27
Departs from Farringdon,23:28
Passes City Thameslink,23:29
Arrives at Blackfriars,23:31
Departs from Blackfriars,23:32
Exits railway at T/F London Bridge,
allowable exit element(s): 78-21 ,23:34


Bedford - Brighton [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9N17

Enters at T/F West Hampstead TL,23:45
Passes Kentish Town,23:46
Arrives at St. Pancras,23:52
Departs from St. Pancras,23:54
Passes Kings Cross TL (Closed),23:55
Arrives at Farringdon,23:57
Departs from Farringdon,23:58
Passes City Thameslink,24:04
Arrives at Blackfriars,24:06
Departs from Blackfriars,24:07
Exits railway at T/F London Bridge,
allowable exit element(s): 78-21 ,24:09


Bedford - Brighton [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9N21

Enters at T/F West Hampstead TL,24:45
Passes Kentish Town,24:46
Arrives at St. Pancras,24:52
Departs from St. Pancras,24:54
Passes Kings Cross TL (Closed),24:55
Arrives at Farringdon,24:57
Departs from Farringdon,24:58
Passes City Thameslink,24:59
Arrives at Blackfriars,25:01
Departs from Blackfriars,25:02
Exits railway at T/F London Bridge,
allowable exit element(s): 78-21 ,25:04


Brighton - Bedford [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9R00

Enters at T/F London Bridge,05:29
Arrives at Blackfriars,05:33
Departs from Blackfriars,05:34
Arrives at City Thameslink,05:35
Departs from City Thameslink,05:36
Arrives at Farringdon,05:37
Departs from Farringdon,05:38
Passes Kings Cross TL (Closed),05:41
Arrives at St. Pancras,05:42
Departs from St. Pancras,05:43
Passes Kentish Town,05:47
Exits railway at T/F West Hampstead TL,
allowable exit element(s): 0-10 ,05:48


Brighton - Bedford [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9T00,9T02,9T04,9T06,9T08,9T10,9T12,9T14,9T16,9T18,9T20,9T22,9T24,9T26,9T28,9T30,9T32,9T34,9T36,9T38,9T40,9T42,9T44,9T46,9T48,9T50,9T52,9T54,9T56,9T58,9T60,9T62,9T64,9T66,9T68

